name,x,y,type,v_nom
63_OOT_DSS,-117.626652,49.289486,63kV,63
63_KRA_GSS,-117.72755,49.336056,63kV,63
63_WST_DSS,-117.738027,49.336884,63kV,63
63_BLB_DSS,-117.657426,49.250951,63kV,63
63_COT_DSS,-117.247544,49.427927,63kV,63
63_RSM_DSS,-117.302945,49.484547,63kV,63
63_MLS_DSS,-117.281941,49.492845,63kV,63
63_YMR_DSS,-117.225007,49.286782,63kV,63
63_UBO_GSS,-117.485128,49.460162,63kV,63
230_FCN_DSS,-123.034464,50.090404,230kV,230
230_RBW_JCT,-122.954513,50.13283,230kV,230
230_PEM_JCT,-122.804413,50.321893,230kV,230
230_BRT_TSS,-122.25233,50.72562,230kV,230
230_PEM_DSS,-122.804413,50.321893,230kV,230
230_RBW_DSS,-122.954513,50.13283,230kV,230
230_CKY_DSS,-123.160951,49.790166,230kV,230
230_RUT_JCT,-122.866516,50.272785,230kV,230
230_TIS_DSS,-122.859303,50.279475,230kV,230
230_RUT_GSS,-122.866516,50.272785,230kV,230
230_WLT_DSS,-123.026066,49.310017,230kV,230
230_HPN_DSS,-123.017942,49.266802,230kV,230
230_CAM_JCT,-123.063075,49.190898,230kV,230
230_KI2_DSS,-123.115357,49.198157,230kV,230
230_ING_DSS,-122.873948,49.158898,230kV,230
230_CAM_DSS,-123.063075,49.190898,230kV,230
230_SYH_JCT,-122.875167,49.136398,230kV,230
230_ARN_DSS,-123.041678,49.092139,230kV,230
230_SYH_DSS,-122.875167,49.136398,230kV,230
230_LYN_DSS,-123.044226,49.328014,230kV,230
230_BSY_TSS,-122.890825,49.299059,230kV,230
230_ASL_JCT,-123.324819,49.913835,230kV,230
230_CMS_GSS,-123.290985,49.933702,230kV,230
230_ASL_GSS,-123.324819,49.913835,230kV,230
230_CYP_DSS,-123.232133,49.356864,230kV,230
230_BR1_GSS,-122.240038,50.72985,230kV,230
230_CSQ_DSS,-123.115545,49.282561,230kV,230
230_MPT_DSS,-123.111687,49.265491,230kV,230
230_MDN_DSS,-122.806744,49.309694,230kV,230
230_WHY_DSS,-122.836612,49.190124,230kV,230
230_JMC_GSS,-124.025443,50.605203,230kV,230
230_ETR_GSS,-123.960276,50.675081,230kV,230
230_MTC_JCT,-124.187332,50.623136,230kV,230
230_PSY_TSS,-124.176334,49.787741,230kV,230
230_SAY_DSS,-124.17721,49.7871,230kV,230
230_MTC_GSS,-124.187332,50.623136,230kV,230
230_MUR_DSS,-123.101318,49.277984,230kV,230
230_COK_DSS,-122.797013,49.262255,230kV,230
