Generator,bus,control,p_nom,carrier,marginal_cost,p_nom_opt,type,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
BC_TPA_GSS RoR Generator,FraserValley,PQ,19.0,,2.19,19.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_TRE_GSS RoR Generator,FraserValley,PQ,14.0,,2.19,14.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_TWY_GSS RoR Generator,FraserValley,PQ,21.0,,2.19,21.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_TYS_DSS RoR Generator,SunshineCoast,PQ,9.0,,1.86,9.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_UBO_GSS RoR Generator,CentralKootenay,PQ,19.0,,1.86,19.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_UCH_GSS RoR Generator,SunshineCoast,PQ,11.0,,2.19,11.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_ULR_GSS RoR Generator,Squamish-Lillooet,PQ,74.0,,2.19,74.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_UMH_GSS RoR Generator,Squamish-Lillooet,PQ,25.0,,2.19,25.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_USR_GSS RoR Generator,FraserValley,PQ,38.0,,2.19,38.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_LMN_GSS RoR Generator,FraserValley,PQ,33.0,,2.19,33.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_VCC_GSS RoR Generator,Kitimat-Stikine,PQ,18.0,,2.19,18.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_WAH_GSS RoR Generator,FraserValley,PQ,65.0,,1.86,65.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_WAX_GSS RoR Generator,KootenayBoundary,PQ,168.0,,1.86,168.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_WCC_DSS RoR Generator,Alberni-Clayoquot,PQ,4.0,,2.19,4.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_WHN_GSS RoR Generator,Columbia-Shuswap,PQ,4.0,,1.86,4.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
BC_ZBL_GSS RoR Generator,Comox-Strathcona,PQ,3.0,,1.86,3.0,,False,0.0,inf,0.0,1.0,0.0,0.0,1.0,0,inf,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0
